100 0.035171
111 0.033318
122 0.030160
134 0.028885
147 0.020750
162 0.022534
178 0.019267
195 0.019267
215 0.017767
236 0.018689
260 0.017928
286 0.008826
314 0.008826
346 0.008075
380 0.008075
418 0.006282
460 0.007394
506 0.007394
556 0.014821
612 0.013947
673 0.019502
741 0.015056
815 0.015930
896 0.011223
985 0.017189
1084 0.023184
1192 0.019941
1311 0.023151
1443 0.023931
1587 0.030412
1745 0.038527
1920 0.047043
2112 0.044302
2323 0.064009
2555 0.086559
2811 0.085085
3092 0.079248
3401 0.092185
3741 0.101442
4115 0.100053
4526 0.099354
4979 0.104979
5477 0.112284
6025 0.126371
6627 0.145316
7290 0.142851
8018 0.163017
8820 0.172539
9702 0.186887
10672 0.174989
11740 0.216823
12913 0.229304
14205 0.248385
15625 0.251267
17188 0.276441
18906 0.312765
20797 0.348656
22877 0.354202
25164 0.367275
27681 0.399298
30449 0.427185
33493 0.434040
36843 0.458872
40527 0.472599
44580 0.498603
49038 0.535188
53941 0.541609
59335 0.567106
65269 0.558026
71796 0.573624
78975 0.585959
86873 0.620850
95560 0.626054
105116 0.639373
115627 0.646627
127190 0.665523
139909 0.677626
153900 0.684087
169290 0.711997
186219 0.705094
204841 0.704221
225325 0.727085
247857 0.727041
272643 0.757330
299907 0.758728
329897 0.757674
362887 0.768890
399176 0.765461
439093 0.760482
483003 0.770653
531303 0.775325
584433 0.762459
642876 0.776004
707164 0.796512
777880 0.814366
855668 0.814775
941235 0.817634
1035358 0.813260
1138894 0.826007
1252783 0.840696
1378062 0.828820
1515868 0.847407
1667455 0.838522
1834200 0.831383
2017620 0.826832
2219382 0.840218
2441320 0.850003
2685452 0.859964
2953997 0.853734
3249397 0.855177
3574336 0.863234
3931770 0.866868
4324947 0.844886
4757442 0.875465
5233186 0.876225
5756504 0.879271
6332155 0.876393
6965370 0.882362
7661907 0.881532
8428098 0.857894
9270907 0.871763
10197998 0.883975
11217798 0.886117
12339578 0.893841
13573535 0.886104
14930889 0.899374
16423978 0.894778
18066375 0.889546
19873013 0.901418
21860314 0.900337
24046345 0.897197
26450980 0.891672
29096078 0.895085
32005685 0.892896
35206254 0.904772
38726879 0.891131
42599567 0.886205
46859524 0.903841
51545476 0.893575
56700024 0.903770
62370026 0.903444
68607029 0.901962
75467731 0.903856
83014505 0.901807
91315955 0.889915
100447550 0.895533
110492305 0.891725
121541536 0.900180
133695689 0.906012
147065258 0.894171
161771784 0.894579
177948962 0.901575
195743859 0.907504
215318244 0.901125
236850069 0.893132
260535076 0.881695
286588583 0.900581
315247441 0.897758
346772186 0.896918
381449404 0.899754
419594344 0.898476
461553779 0.895268
507709157 0.891839
558480072 0.887618
614328079 0.899474
675760887 0.901826
743336976 0.894471
817670674 0.903761
899437741 0.900461
989381515 0.900750
